time,computers on
2016-09-08 19:42:18,19
2016-09-08 19:59:56,19
2016-09-08 20:17:33,19
2016-09-08 20:35:11,20
2016-09-08 20:52:49,19
2016-09-08 21:10:26,19
2016-09-08 21:28:04,19
2016-09-08 21:45:42,19
2016-09-08 22:03:19,19
2016-09-08 22:20:57,19
2016-09-08 22:38:34,19
2016-09-08 22:56:12,19
2016-09-08 23:13:50,19
2016-09-08 23:31:27,19
2016-09-08 23:49:05,19
2016-09-09 00:06:43,19
2016-09-09 00:24:20,19
2016-09-09 00:41:58,19
2016-09-09 00:59:36,19
2016-09-09 01:17:13,19
2016-09-09 01:34:51,19
2016-09-09 01:52:29,19
2016-09-09 02:10:06,19
2016-09-09 02:27:44,19
2016-09-09 02:45:21,19
2016-09-09 03:02:59,20
2016-09-09 03:20:37,20
2016-09-09 03:38:14,19
2016-09-09 03:55:52,19
2016-09-09 04:13:30,19
2016-09-09 04:31:07,19
2016-09-09 04:48:45,19
2016-09-09 05:06:22,19
2016-09-09 05:24:00,19
2016-09-09 05:41:38,19
2016-09-09 05:59:16,19
2016-09-09 06:16:53,19
2016-09-09 06:34:31,19
2016-09-09 06:52:09,19
2016-09-09 07:09:46,19
2016-09-09 07:27:24,19
2016-09-09 07:45:01,19
2016-09-09 08:02:39,19
2016-09-09 08:20:17,19
2016-09-09 08:37:54,19
2016-09-09 08:55:32,19
2016-09-09 09:13:10,19
2016-09-09 09:30:47,21
2016-09-09 09:48:25,25
2016-09-09 10:06:03,36
2016-09-09 10:23:40,37
2016-09-09 10:41:18,38
2016-09-09 10:58:56,38
2016-09-09 11:16:33,38
2016-09-09 11:34:11,38
2016-09-09 11:51:49,38
2016-09-09 12:09:26,38
2016-09-09 12:27:04,37
2016-09-09 12:44:42,38
2016-09-09 13:02:19,38
2016-09-09 13:19:57,36
2016-09-09 13:37:34,35
2016-09-09 13:55:12,35
2016-09-09 14:12:50,35
2016-09-09 14:30:27,35
2016-09-09 14:48:05,36
2016-09-09 15:05:43,36
2016-09-09 15:23:21,36
2016-09-09 15:40:58,37
2016-09-09 15:58:36,36
2016-09-09 16:16:13,36
2016-09-09 16:33:51,36
2016-09-09 16:51:29,35
2016-09-09 17:09:06,35
2016-09-09 17:26:44,33
2016-09-09 17:44:22,25
2016-09-09 18:03:05,22
2016-09-09 18:20:43,16
2016-09-09 18:38:21,15
2016-09-09 18:55:58,15
2016-09-09 19:13:36,15
